id,name,mark_id
7,Cobra,1
8,CL,5
10,EL,5
20,MDX,5
25,RL,5
28,RSX,5
32,TL,5
37,TSX,5
43,146,7
45,147,7
47,155,7
50,156,7
52,164,7
55,166,7
56,33,7
66,90,7
78,Giulietta,7
81,GT,7
85,GTV,7
92,Spider,7
183,24,11
189,Rocsta,12
193,DB7,14
199,DB9,14
207,"V12 Vanquish",14
208,"V8 Vantage",14
214,Virage,14
223,200,15
228,50,15
230,A2,15
231,A3,15
236,A4,15
244,"A4 allroad",15
245,A6,15
253,A8,15
260,"A6 allroad",15
264,Cabriolet,15
265,Coupe,15
272,RS4,15
277,RS6,15
283,S2,15
285,S3,15
289,S4,15
297,S6,15
304,S8,15
307,TT,15
333,Arnage,25
338,Azure,25
341,Brooklands,25
344,Continental,25
348,"Continental Flying Spur",25
355,Mulsanne,25
358,"Turbo R",25
365,3er,30
384,5er,30
395,6er,30
401,7er,30
407,8er,30
418,"EB Veyron 16.4",36
421,Century,37
427,LeSabre,37
432,"Park Avenue",37
439,Regal,37
444,Rendezvous,37
446,Riviera,37
453,Skylark,37
458,Catera,41
460,CTS,41
464,"De Ville",41
469,Eldorado,41
473,Escalade,41
487,Seville,41
505,Alero,49
509,Astro,49
511,Beretta,49
513,Blazer,49
518,Camaro,49
524,Caprice,49
529,Cavalier,49
543,Corvette,49
551,Impala,49
556,Lumina,49
557,"Lumina APV",49
558,Malibu,49
569,Niva,49
577,"S-10 Pickup",49
579,SSR,49
581,Suburban,49
586,Tahoe,49
590,Tracker,49
594,TrailBlazer,49
596,"Trans Sport",49
601,Venture,49
607,Concorde,50
612,Crossfire,50
622,"Le Baron",50
625,LHS,50
628,Neon,50
631,"NEW Yorker",50
636,Pacifica,50
638,Prowler,50
641,"PT Cruiser",50
643,Sebring,50
654,Stratus,50
656,"Town & Country",50
664,Vision,50
666,Voyager,50
671,"2 CV",52
679,Ax,52
680,Berlingo,52
684,BX,52
688,C3,52
691,"C3 Picasso",52
693,C5,52
698,C8,52
700,CX,52
711,Evasion,52
724,Saxo,52
727,Xantia,52
732,XM,52
738,Xsara,52
741,"Xsara Picasso",52
743,ZX,52
759,Nubira,61
773,Espero,61
777,Kalos,61
782,Lacetti,61
803,"Lanos (Sens)",61
808,Leganza,61
809,Magnus,61
811,Matiz,61
817,Nexia,61
822,Racer,61
825,Rezzo,61
827,Tico,61
838,Applause,63
841,Atrai,63
844,Charade,63
852,Cuore,63
862,Feroza,63
868,MAX,63
870,Mira,63
872,Move,63
878,Sirion,63
881,Terios,63
888,YRV,63
901,DS420,64
902,XJ40,64
906,DMC-12,67
917,Avenger,71
918,Caravan,71
927,Dakota,71
931,Durango,71
934,Intrepid,71
941,Shadow,71
942,Spirit,71
944,Stealth,71
946,Assol,72
948,Kondor,72
953,Premier,74
986,575M,79
998,126,80
1015,500,80
1021,Brava,80
1022,Bravo,80
1033,Croma,80
1041,Fiorino,80
1045,Marea,80
1048,Multipla,80
1050,Palio,80
1052,Panda,80
1057,Punto,80
1072,Regata,80
1074,Ritmo,80
1079,Seicento,80
1083,Stilo,80
1088,Tempra,80
1091,Tipo,80
1092,Ulysse,80
1095,UNO,80
1100,Capri,82
1104,Consul,82
1108,Cougar,82
1109,Escort,82
1133,Excursion,82
1135,Expedition,82
1140,Explorer,82
1146,Fiesta,82
1153,Focus,82
1171,Galaxy,82
1174,Granada,82
1180,KA,82
1185,Maverick,82
1188,Mondeo,82
1201,Probe,82
1205,Puma,82
1206,Scorpio,82
1212,Sierra,82
1218,Taunus,82
1232,Aerostar,82
1234,Aspire,82
1236,Contour,82
1238,"Crown Victoria",82
1243,Econoline,82
1244,Escape,82
1247,Mustang,82
1256,Taurus,82
1271,Thunderbird,82
1276,Windstar,82
1292,"22 «Волга»",292
1302,Envoy,90
1305,Jimmy,90
1307,Savana,90
1311,Yukon,90
1355,Accord,104
1378,Avancier,104
1380,Capa,104
1382,City,104
1387,Civic,104
1420,Concerto,104
1422,CR-V,104
1426,CR-X,104
1430,Domani,104
1435,Fit,104
1438,HR-V,104
1439,Insight,104
1442,Inspire,104
1446,Jazz,104
1452,Legend,104
1459,Life,104
1461,Logo,104
1464,Mobilio,104
1466,"Odyssey (North America)",104
1470,Orthia,104
1472,Passport,104
1474,Pilot,104
1477,Prelude,104
1485,S2000,104
1487,Saber,104
1491,S-MX,104
1492,Stepwgn,104
1498,Stream,104
1501,That'S,104
1505,Torneo,104
1507,Vamos,104
1508,Vigor,104
1510,Z,104
1513,H1,107
1514,H2,107
1516,H3,107
1517,Accent,109
1526,Atos,109
1540,Galloper,109
1543,Getz,109
1552,Elantra,109
1561,Matrix,109
1563,Excel,109
1567,Scoupe,109
1568,"Santa Fe",109
1571,Santamo,109
1573,Sonata,109
1583,Terracan,109
1592,Trajet,109
1593,XG,109
1595,"2126 «Ода»",299
1599,"21261 «Фабула»",299
1604,FX,114
1629,Q,114
1661,Aska,121
1665,Axiom,121
1669,Gemini,121
1677,Trooper,121
1682,VehiCross,121
1689,S-Type,125
1691,X-Type,125
1693,XJ,125
1700,XJS,125
1704,Cherokee,127
1708,CJ,127
1710,"Grand Cherokee",127
1715,Wrangler,127
1722,Capital,134
1724,Carens,134
1727,Carnival,134
1731,Clarus,134
1737,Enterprise,134
1739,Joice,134
1742,Magentis,134
1746,Opirus,134
1751,Pride,134
1754,Retona,134
1755,Rio,134
1763,Sephia,134
1767,Shuma,134
1770,Sorento,134
1774,Sportage,134
1780,Visto,134
1794,Diablo,145
1807,Murcielago,145
1818,Dedra,146
1821,Delta,146
1830,Kappa,146
1834,Lybra,146
1837,Phedra,146
1839,Prisma,146
1841,Thema,146
1844,Thesis,146
1853,Discovery,147
1858,Freelander,147
1867,"Range Rover",147
1871,"Range Rover Sport",147
1872,ES,152
1878,GX,152
1881,IS,152
1887,LS,152
1892,LX,152
1896,RX,152
1900,SC,152
1903,Aviator,153
1906,Navigator,153
1910,"Town Car",153
1918,Elise,154
1931,Exige,154
1933,TX,156
1988,"3200 GT",164
1992,"4200 GT",164
1996,Biturbo,164
2002,Ghibli,164
2016,Quattroporte,164
2031,121,166
2035,323,166
2054,626,166
2068,818,166
2070,929,166
2077,Atenza,166
2085,AZ-Wagon,166
2086,B-series,166
2100,Demio,166
2109,"Eunos 800",166
2114,Lantis,166
2115,Laputa,166
2119,2,166
2123,Millenia,166
2124,MPV,166
2129,MX-3,166
2130,MX-5,166
2136,MX-6,166
2139,Premacy,166
2147,RX-7,166
2152,RX-8,166
2161,Tribute,166
2164,"Golf GTD",273
2167,"Xedos 6",166
2169,"Xedos 9",166
2172,"Touareg R50",273
2173,F1,167
2176,"100 S4",15
2194,"Escalade ESV",41
2195,"190 (W201)",170
2196,"Escalade EXT",41
219600,A-klasse,170
2199,C-klasse,170
2207,CL-klasse,170
2211,CLK-klasse,170
2214,"Integra Type R",104
221400,"Accord Type R",104
2216,"Accord Type S",104
221600,E-klasse,170
2218,"Civic Hybrid",104
2228,G-klasse,170
2233,M-klasse,170
2238,S-klasse,170
223800,"323 GT",166
2242,"Mustang Shelby GT500",82
2247,SLK-klasse,170
2250,"Pajero EVO",181
2252,"Micra 160 SR",191
225200,Vaneo,170
2257,Mountaineer,171
2260,"Corsa Corsa GSi",197
2261,Sable,171
2264,"Corsa OPC NE",197
2266,"ES 250",152
226600,"GS 250",152
226601,"IS 250",152
2268,"RX 300",152
226800,"IS 300",152
226801,"GS 300",152
226802,"ES 300",152
2270,"RX 330",152
227000,"ES 330",152
2272,"RX 350",152
227200,"GS 350",152
227201,"IS 350",152
227202,"ES 350",152
2273,Tracer,171
2274,"IS 300h",152
227400,"ES 300h",152
227401,"NX 300h",152
2276,Villager,171
2278,F,174
2280,"GS 400",152
228000,"LS 400",152
2282,"GS 430",152
228200,"SC 430",152
228201,"LS 430",152
2284,"GS 450h",152
228400,"RX 450h",152
2286,"GX 460",152
228600,"LS 460",152
228601,"GS 460",152
2288,"CT 200h",152
2290,"LX 470",152
229000,"GX 470",152
2292,"HS 250h",152
2293,ZT,174
2294,"NX 200",152
229400,"IS 200",152
229401,"ES 200",152
2296,"IS 220d",152
2298,Hatch,177
2306,"LS 460 L",152
2308,"LS 600h L",152
2312,"LX 570",152
2314,"RX 400h",152
2316,"RX 270",152
2318,"3000 GT",181
2320,Airtrek,181
232000,"207 RC",205
232001,"206 RC",205
2322,"Panamera Turbo",208
232200,"Macan Turbo",208
232201,"Cayenne Turbo",208
232202,"911 Turbo",208
2323,Legnum,181
2324,"Cayenne Turbo S",208
232400,"911 Turbo S",208
232401,"Panamera Turbo S",208
2325,Carisma,181
2326,"Boxster S",208
232600,"Cayenne S",208
232601,"Macan S",208
232602,"Panamera S",208
232603,"Cayman S",208
2328,"Cayenne GTS",208
232800,"Panamera GTS",208
2330,Challenger,181
233000,"Cayenne S Hybrid",208
233001,"Panamera S Hybrid",208
2332,"Cayenne Diesel",208
233200,Chariot,181
233201,"Panamera Diesel",208
2334,"Macan S Diesel",208
233400,Colt,181
233401,"Cayenne S Diesel",208
2344,"Panamera 4",208
2346,"Panamera 4S",208
2348,Debonair,181
2349,Diamante,181
2353,Dingo,181
2354,Dion,181
2356,Eclipse,181
2360,"Roomster Scout",236
236000,"Octavia Scout",236
236001,"Fabia Scout",236
2362,"Every Landy",247
2363,eK,181
2364,"Escudo Grand Escudo",247
2365,Emeraude,181
2366,"Grand Vitara XL-7",247
2367,FTO,181
2369,Galant,181
2372,"Scenic Grand Scenic",217
2374,"Sandero Stepway",217
2376,"Scenic RX4",217
2382,"Legacy GT",246
2383,Grandis,181
2386,GTO,181
2387,Libero,181
2389,Minica,181
2390,"Impreza XV",246
2393,Mirage,181
2394,"850 R",274
239400,"S60 R",274
2396,"V70 XC",274
2402,Outlander,181
2405,Pajero,181
2406,"Pajero Junior",181
2407,"Pajero iO",181
2415,"Pajero Pinin",181
2424,RVR,181
2428,Sapporo,181
2433,Sigma,181
2436,"Space Gear",181
2437,"Space Runner",181
2441,"Space Star",181
2442,"Space Wagon",181
2448,Starion,181
2450,Toppo,181
2457,"Aero 8",185
2475,2140,316
2482,2141,316
2487,Святогор,316
2489,403,316
2491,407,316
2492,"2109 Тарзан",288
249200,"2108 Тарзан",288
2493,423,316
2500,2138,316
2502,"Князь Владимир",316
2505,100NX,191
2506,200SX,191
2510,"2110 Премьер",288
2511,300ZX,191
2512,"2111 Богдан",288
251200,"2110 Богдан",288
2514,"2110 Консул",288
2515,350Z,191
2517,Almera,191
2518,"Almera Tino",191
2524,Altima,191
2529,Avenir,191
2533,Bassara,191
2535,Bluebird,191
2551,Cedric,191
2559,Cefiro,191
2564,"Kalina Sport",288
256400,Cherry,191
256401,"Granta Sport",288
2575,Cube,191
2580,Elgrand,191
2583,Gloria,191
2590,Largo,191
259000,"C4 Picasso Grand C4 Picasso",52
2591,Laurel,191
